filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
113_MJB2383_6ul_GE1_01_22303.mzML	Diocirea_microphylla_MJB2383	1	0	0	NA	1	h3	h3	1	19.8
114_MJB2384_6ul_GE2_01_22304.mzML	Eremophila_deserti_MJB2384	1	0	0	0	0	d	ag	0	13.8
115_MJB2385_6ul_GE3_01_22305.mzML	Eremophila_rigida_MJB2385	0	0	0	NA	1	h11	h11	1	13.8
118_MJB2388_6ul_GE6_01_22308.mzML	Eremophila_miniata_MJB2388	1	1	0	0	1	h10	h10	1	12.7
119_MJB2389_6ul_GE7_01_22309.mzML	Eremophila_occidens_MJB2389	0	0	0	NA	1	h10	h10	1	10.8
120_MJB2390_6ul_GE8_01_22310.mzML	Eremophila_cryptothrix_MJB2390	1	0	0	NA	0	h11	h11	1	14.3
122_MJB2392_6ul_BA2_01_22314.mzML	Eremophila_homoplastica_MJB2392	0	0	0	NA	1	h10	h10	1	12.6
123_MJB2393_6ul_BA3_01_22315.mzML	Eremophila_perglandulosa_MJB2393	0	0	0	NA	1	0	h	1	12.3
124_MJB2394_6ul_BA4_01_22316.mzML	Eremophila_veronica_MJB2394	0	0	0	0	1	h3	h3	1	10.5
125_MJB2395_6ul_BA5_01_22317.mzML	Eremophila_oldfieldii_oldfieldii_MJB2395	1	1	0	NA	1	0	h	1	11.8
126_MJB2396_6ul_BA6_01_22318.mzML	Eremophila_warnesii_MJB2396	0	0	0	NA	1	h1	h	1	11.6
127_MJB2397_6ul_BA7_01_22319.mzML	Eremophila_maitlandii_MJB2397	0	0	0	NA	1	h10	h10	1	13.8
128_MJB2398_6ul_BA8_01_22320.mzML	Eremophila_magnifica_magnifica_MJB2398	0	0	0	NA	1	0	h	1	14.3
129_MJB2399_6ul_BB1_01_22321.mzML	Eremophila_prolata_MJB2399	1	0	0	NA	1	h11	h11	1	16.5
130_MJB2400_6ul_BB2_01_22322.mzML	Eremophila_platycalyx_platycalyx_MJB2400	0	1	0	NA	1	h11	h11	1	13.6
131_MJB2401_6ul_BB3_01_22323.mzML	Eremophila_oppositifolia_angustifolia_MJB2401	0	1	0	NA	1	h9	h	1	16.5
132_MJB2402_6ul_BB4_01_22324.mzML	Eremophila_scoparia_MJB2402	0	0	0	0	0	h3	h3	1	14.3
134_MJB2404_6ul_BB6_01_22326.mzML	Eremophila_serrulata_MJB2404	1	1	0	1	1	h14	h14	1	10.9
135_MJB2405_6ul_BB7_01_22327.mzML	Eremophila_forrestii_forrestii_MJB2405	0	1	0	0	1	h10	h10	1	12.2
136_MJB2406_6ul_BB8_01_22328.mzML	Eremophila_exilifolia_MJB2406	1	0	0	NA	1	0	h	1	13.8
